CustomerID,LoyaltyTier,ProductID,Category,BasePrice,StockLevel,Rating,TimeOfDay,DayOfWeek,CompetitorPrice,PersonalizedPrice,ExpectedConversionRate,CustomerSegment,SegmentLabel
8270,1,12402,Toys,539.53,88,4.6,Afternoon,Thursday,63.33,301.43,0.9,5,Premium Deal Seekers
1860,2,73190,Clothing,559.94,95,1.4,Morning,Sunday,908.85,503.95,1.0,0,Balanced Loyalists
6390,2,62551,Toys,115.59,17,1.4,Evening,Sunday,872.13,104.03,1.0,2,Discount Hunters
6191,1,23275,Toys,964.53,25,4.2,Evening,Friday,216.3,590.41,0.9,5,Premium Deal Seekers
6734,2,38182,Electronics,577.55,64,2.0,Afternoon,Monday,80.81,271.42,1.0,5,Premium Deal Seekers
7265,1,24915,Electronics,159.52,73,1.2,Morning,Thursday,114.48,137.0,0.9,5,Premium Deal Seekers
1466,3,10909,Clothing,318.33,86,2.6,Afternoon,Saturday,563.5,308.78,0.9,3,Loyal Premium Buyers
5426,2,75908,Sports,802.23,48,4.3,Afternoon,Saturday,604.91,623.35,1.0,0,Balanced Loyalists
6578,2,32620,Electronics,528.0,35,1.5,Night,Saturday,322.43,372.41,1.0,5,Premium Deal Seekers
9322,1,44112,Electronics,196.27,37,3.7,Morning,Saturday,303.87,196.27,0.8,2,Discount Hunters
2685,2,84051,Home & Kitchen,111.82,55,1.0,Morning,Tuesday,536.19,100.64,1.0,0,Balanced Loyalists
1769,0,12431,Electronics,436.47,17,1.4,Evening,Saturday,312.57,352.7,1.0,4,Impulse Shoppers
7949,3,96590,Sports,344.04,28,2.4,Evening,Saturday,934.98,333.72,0.9,2,Discount Hunters
3433,3,72175,Home & Kitchen,659.36,1,1.3,Afternoon,Tuesday,388.81,536.28,0.9,3,Loyal Premium Buyers
6311,2,42624,Toys,925.99,53,4.4,Night,Friday,227.62,484.21,1.0,5,Premium Deal Seekers
6051,2,86121,Toys,255.25,73,4.5,Night,Sunday,154.51,179.35,1.0,5,Premium Deal Seekers
7420,0,71264,Home & Kitchen,856.68,55,4.0,Night,Wednesday,635.39,703.2,1.0,1,Price-Sensitive Newcomers
2184,0,41958,Home & Kitchen,921.26,61,2.0,Afternoon,Saturday,333.39,581.26,1.0,4,Impulse Shoppers
5555,2,11695,Home & Kitchen,902.98,13,3.1,Evening,Sunday,196.91,459.65,1.0,5,Premium Deal Seekers
4385,2,59932,Clothing,952.56,47,1.7,Morning,Saturday,283.06,522.55,1.0,5,Premium Deal Seekers
7396,0,54225,Sports,843.69,64,2.1,Afternoon,Thursday,314.8,537.06,1.0,4,Impulse Shoppers
9666,1,11403,Sports,597.55,32,3.1,Night,Monday,629.58,597.55,0.8,2,Discount Hunters
3558,0,93346,Toys,415.75,28,3.9,Night,Thursday,182.93,278.55,1.0,4,Impulse Shoppers
8849,1,84391,Toys,496.77,53,1.4,Afternoon,Saturday,735.48,496.77,0.8,2,Discount Hunters
3047,3,48636,Toys,873.89,31,2.2,Night,Friday,311.83,566.64,0.9,3,Loyal Premium Buyers
3747,3,20839,Electronics,308.38,8,4.7,Morning,Thursday,493.43,314.09,0.6,6,Passive Loyalists
1189,0,75546,Toys,167.67,72,2.7,Afternoon,Friday,658.29,159.29,1.0,1,Price-Sensitive Newcomers
3734,1,57829,Home & Kitchen,149.41,98,4.8,Morning,Friday,548.18,149.41,0.8,2,Discount Hunters
4005,0,19230,Toys,828.72,87,5.0,Evening,Saturday,665.61,705.73,1.0,1,Price-Sensitive Newcomers
5658,0,61977,Home & Kitchen,763.87,74,3.1,Night,Friday,329.37,508.43,1.0,4,Impulse Shoppers
2899,1,50232,Clothing,502.67,25,2.2,Night,Thursday,963.82,502.67,0.8,2,Discount Hunters
8734,0,35651,Electronics,282.12,33,4.2,Evening,Tuesday,464.4,268.01,1.0,1,Price-Sensitive Newcomers
2267,3,49963,Electronics,680.84,68,1.6,Evening,Monday,328.71,484.35,0.9,3,Loyal Premium Buyers
2528,2,65872,Sports,48.05,7,2.0,Evening,Friday,303.43,45.41,1.0,5,Premium Deal Seekers
4556,2,89198,Clothing,572.55,97,4.1,Night,Sunday,52.27,255.15,1.0,5,Premium Deal Seekers
4890,0,23739,Home & Kitchen,404.44,66,2.7,Evening,Saturday,687.96,384.22,1.0,1,Price-Sensitive Newcomers
9838,1,73294,Clothing,978.08,46,1.8,Afternoon,Wednesday,269.89,623.99,0.9,5,Premium Deal Seekers
6393,1,58356,Electronics,512.48,96,3.6,Evening,Friday,959.34,512.48,0.8,2,Discount Hunters
9792,3,11789,Home & Kitchen,556.75,5,3.9,Afternoon,Sunday,218.34,397.84,0.9,3,Loyal Premium Buyers
9433,1,29420,Clothing,715.24,17,1.5,Afternoon,Thursday,534.2,624.72,0.9,0,Balanced Loyalists
8513,1,99297,Electronics,489.69,76,2.1,Morning,Friday,738.12,489.69,0.8,2,Discount Hunters
3612,3,47606,Home & Kitchen,232.32,52,1.9,Afternoon,Wednesday,871.41,225.35,0.9,2,Discount Hunters
8041,0,48640,Home & Kitchen,541.91,12,2.5,Afternoon,Sunday,164.9,326.31,1.0,4,Impulse Shoppers
7235,2,54135,Electronics,944.83,62,4.1,Evening,Tuesday,985.55,850.35,1.0,0,Balanced Loyalists
6486,3,47067,Home & Kitchen,415.81,35,3.9,Night,Thursday,907.68,403.34,0.9,2,Discount Hunters
8099,0,68420,Electronics,682.84,62,3.7,Evening,Thursday,963.22,648.7,1.0,1,Price-Sensitive Newcomers
