User_ID,Product_ID,Age,Gender,City,Occupation,Product_Category,Weather,Time_of_Day,Loyalty_Tier,Purchase_Amount,CustomerSegment,Time_Bin,Persona
U10000,P442,56,Male,Rural,Student,Electronics,Rainy,Morning,Silver,286.55,1,0,Premium Buyer
U10001,P576,46,Male,Suburban,Unemployed,Electronics,Rainy,Morning,Gold,249.1,1,0,Premium Buyer
U10002,P681,32,Female,Rural,Unemployed,Home Decor,Cloudy,Morning,Silver,148.2,2,0,Bargain Hunter
U10003,P971,60,Male,Urban,Professional,Toys,Cloudy,Night,Bronze,75.71,0,3,Budget Buyer
U10004,P322,25,Male,Suburban,Retired,Clothing,Rainy,Night,Bronze,94.81,5,3,Premium Buyer
U10005,P157,38,Male,Urban,Student,Electronics,Snowy,Morning,Gold,264.07,1,0,Premium Buyer
U10006,P721,56,Female,Urban,Retired,Groceries,Cloudy,Morning,Gold,43.92,0,0,Budget Buyer
U10007,P770,36,Male,Urban,Student,Home Decor,Sunny,Afternoon,Silver,126.37,4,1,Impulsive Buyer
U10008,P393,40,Female,Suburban,Professional,Toys,Rainy,Afternoon,Platinum,61.09,4,1,Impulsive Buyer
U10009,P644,28,Female,Urban,Retired,Toys,Snowy,Morning,New,75.7,0,0,Budget Buyer
U10010,P609,28,Female,Rural,Professional,Electronics,Cloudy,Afternoon,Bronze,259.54,1,1,Premium Buyer
U10011,P331,41,Female,Urban,Student,Electronics,Rainy,Evening,Silver,244.21,1,2,Premium Buyer
U10012,P701,53,Female,Urban,Professional,Groceries,Snowy,Night,Silver,46.3,4,3,Impulsive Buyer
U10013,P488,57,Male,Urban,Retired,Groceries,Sunny,Afternoon,Bronze,47.49,0,1,Budget Buyer
U10014,P427,41,Female,Suburban,Unemployed,Electronics,Cloudy,Evening,Bronze,307.49,1,2,Premium Buyer
U10015,P483,20,Male,Urban,Professional,Clothing,Cloudy,Night,Silver,86.41,5,3,Premium Buyer
U10016,P572,39,Female,Rural,Retired,Electronics,Sunny,Afternoon,Bronze,301.39,1,1,Premium Buyer
U10017,P340,19,Male,Suburban,Professional,Electronics,Cloudy,Night,New,276.19,1,3,Premium Buyer
U10018,P320,41,Female,Rural,Professional,Toys,Snowy,Evening,Platinum,68.05,2,2,Bargain Hunter
U10019,P603,61,Male,Urban,Unemployed,Electronics,Cloudy,Evening,Gold,276.48,1,2,Premium Buyer
U10020,P168,47,Male,Urban,Retired,Electronics,Rainy,Night,Gold,261.49,1,3,Premium Buyer
U10021,P608,55,Female,Suburban,Retired,Electronics,Sunny,Morning,Bronze,298.45,1,0,Premium Buyer
U10022,P712,19,Female,Rural,Retired,Clothing,Rainy,Afternoon,Bronze,104.27,2,1,Bargain Hunter
U10023,P227,38,Male,Urban,Student,Toys,Cloudy,Morning,Platinum,62.44,4,0,Impulsive Buyer
U10024,P209,50,Female,Rural,Professional,Home Decor,Rainy,Evening,Platinum,108.7,2,2,Bargain Hunter
U10025,P488,29,Female,Urban,Unemployed,Home Decor,Snowy,Night,Platinum,124.38,3,3,First-Time Buyer
U10026,P821,39,Other,Suburban,Retired,Home Decor,Rainy,Afternoon,Silver,121.86,4,1,Impulsive Buyer
U10027,P448,61,Female,Urban,Unemployed,Home Decor,Snowy,Afternoon,Bronze,144.45,3,1,First-Time Buyer
