User_ID,Product_ID,Age,Gender,City,Occupation,Product_Category,Weather,Time_of_Day,Loyalty_Tier,Purchase_Amount
U10000,P442,56,Male,Rural,Student,Electronics,Rainy,Morning,Silver,286.55
U10001,P576,46,Male,Suburban,Unemployed,Electronics,Rainy,Morning,Gold,249.1
U10002,P681,32,Female,Rural,Unemployed,Home Decor,Cloudy,Morning,Silver,148.2
U10003,P971,60,Male,Urban,Professional,Toys,Cloudy,Night,Bronze,75.71
U10004,P322,25,Male,Suburban,Retired,Clothing,Rainy,Night,Bronze,94.81
U10005,P157,38,Male,Urban,Student,Electronics,Snowy,Morning,Gold,264.07
U10006,P721,56,Female,Urban,Retired,Groceries,Cloudy,Morning,Gold,43.92
U10007,P770,36,Male,Urban,Student,Home Decor,Sunny,Afternoon,Silver,126.37
U10008,P393,40,Female,Suburban,Professional,Toys,Rainy,Afternoon,Platinum,61.09
U10009,P644,28,Female,Urban,Retired,Toys,Snowy,Morning,New,75.7
U10010,P609,28,Female,Rural,Professional,Electronics,Cloudy,Afternoon,Bronze,259.54
U10011,P331,41,Female,Urban,Student,Electronics,Rainy,Evening,Silver,244.21
U10012,P701,53,Female,Urban,Professional,Groceries,Snowy,Night,Silver,46.3
U10013,P488,57,Male,Urban,Retired,Groceries,Sunny,Afternoon,Bronze,47.49
U10014,P427,41,Female,Suburban,Unemployed,Electronics,Cloudy,Evening,Bronze,307.49
U10015,P483,20,Male,Urban,Professional,Clothing,Cloudy,Night,Silver,86.41
U10016,P572,39,Female,Rural,Retired,Electronics,Sunny,Afternoon,Bronze,301.39
U10017,P340,19,Male,Suburban,Professional,Electronics,Cloudy,Night,New,276.19
U10018,P320,41,Female,Rural,Professional,Toys,Snowy,Evening,Platinum,68.05
U10019,P603,61,Male,Urban,Unemployed,Electronics,Cloudy,Evening,Gold,276.48
U10020,P168,47,Male,Urban,Retired,Electronics,Rainy,Night,Gold,261.49
U10021,P608,55,Female,Suburban,Retired,Electronics,Sunny,Morning,Bronze,298.45
U10022,P712,19,Female,Rural,Retired,Clothing,Rainy,Afternoon,Bronze,104.27
U10023,P227,38,Male,Urban,Student,Toys,Cloudy,Morning,Platinum,62.44
U10024,P209,50,Female,Rural,Professional,Home Decor,Rainy,Evening,Platinum,108.7
U10025,P488,29,Female,Urban,Unemployed,Home Decor,Snowy,Night,Platinum,124.38
U10026,P821,39,Other,Suburban,Retired,Home Decor,Rainy,Afternoon,Silver,121.86
U10027,P448,61,Female,Urban,Unemployed,Home Decor,Snowy,Afternoon,Bronze,144.45
U10028,P444,42,Male,Urban,Student,Toys,Snowy,Morning,Silver,73.4
U10029,P256,44,Male,Urban,Student,Electronics,Snowy,Afternoon,Silver,274.56
U10030,P508,59,Female,Rural,Unemployed,Home Decor,Sunny,Afternoon,Platinum,111.98
U10031,P859,45,Female,Rural,Retired,Electronics,Rainy,Afternoon,Bronze,260.87
U10032,P716,33,Male,Urban,Unemployed,Home Decor,Snowy,Evening,Bronze,154.12
U10033,P368,32,Male,Rural,Retired,Clothing,Snowy,Morning,Bronze,95.79
U10034,P863,64,Female,Suburban,Retired,Electronics,Rainy,Evening,Bronze,274.92
U10035,P205,61,Male,Suburban,Student,Toys,Cloudy,Night,Silver,75.91
U10036,P911,20,Male,Urban,Unemployed,Clothing,Sunny,Night,Gold,92.17
U10037,P884,54,Male,Suburban,Student,Clothing,Snowy,Morning,Bronze,93.18
U10038,P339,24,Male,Urban,Professional,Toys,Cloudy,Night,New,73.57
U10039,P687,38,Male,Urban,Student,Clothing,Cloudy,Evening,Bronze,98.66
U10040,P388,26,Female,Suburban,Retired,Electronics,Cloudy,Evening,Silver,292.01
U10041,P782,56,Male,Rural,Unemployed,Groceries,Snowy,Evening,Silver,49.32
U10042,P366,35,Male,Suburban,Professional,Groceries,Snowy,Evening,Silver,47.82
U10043,P703,21,Male,Rural,Professional,Home Decor,Snowy,Morning,Bronze,135.89
U10044,P763,42,Male,Rural,Professional,Home Decor,Rainy,Afternoon,Platinum,116.6
U10045,P698,31,Male,Urban,Professional,Electronics,Snowy,Night,Bronze,264.29
U10046,P176,26,Female,Urban,Unemployed,Toys,Sunny,Morning,Silver,75.06
U10047,P770,43,Female,Suburban,Retired,Electronics,Rainy,Afternoon,Platinum,224.12
U10048,P348,19,Male,Rural,Professional,Home Decor,Sunny,Morning,Gold,125.77
U10049,P529,37,Male,Rural,Retired,Clothing,Cloudy,Night,Gold,85.54
U10050,P904,45,Male,Suburban,Student,Electronics,Rainy,Morning,New,292.95
U10051,P654,64,Female,Suburban,Retired,Electronics,Rainy,Night,Gold,237.13
U10052,P938,24,Female,Suburban,Professional,Toys,Rainy,Morning,Silver,68.97
U10053,P265,61,Male,Urban,Student,Home Decor,Sunny,Morning,Bronze,146.28
U10054,P631,25,Female,Urban,Student,Electronics,Sunny,Evening,Platinum,250.89
U10055,P440,64,Male,Suburban,Student,Clothing,Cloudy,Morning,New,102.29
U10056,P101,52,Female,Rural,Professional,Clothing,Snowy,Morning,Platinum,87.45
U10057,P151,31,Female,Rural,Retired,Groceries,Sunny,Afternoon,New,51.14
U10058,P196,34,Female,Urban,Unemployed,Home Decor,Cloudy,Evening,Bronze,134.67
U10059,P737,53,Female,Suburban,Retired,Clothing,Snowy,Night,New,99.82
U10060,P370,57,Male,Rural,Professional,Toys,Rainy,Evening,Platinum,68.3
U10061,P547,21,Female,Suburban,Professional,Home Decor,Snowy,Morning,New,144.77
U10062,P600,19,Female,Urban,Student,Clothing,Sunny,Night,Silver,94.27
U10063,P258,23,Female,Suburban,Retired,Electronics,Cloudy,Morning,Silver,285.4
U10064,P596,59,Male,Suburban,Professional,Home Decor,Rainy,Evening,Gold,138.57
U10065,P616,21,Male,Suburban,Professional,Clothing,Rainy,Evening,Gold,83.32
U10066,P132,46,Female,Suburban,Unemployed,Electronics,Snowy,Morning,New,285.57
U10067,P100,35,Female,Rural,Retired,Groceries,Snowy,Morning,Bronze,47.58
U10068,P596,43,Female,Urban,Student,Home Decor,Sunny,Morning,Bronze,156.57
U10069,P341,61,Female,Urban,Student,Home Decor,Rainy,Afternoon,Platinum,129.65
U10070,P348,51,Female,Suburban,Student,Clothing,Snowy,Evening,Gold,81.33
U10071,P637,27,Female,Urban,Retired,Groceries,Rainy,Afternoon,Gold,39.92
U10072,P954,53,Female,Rural,Professional,Toys,Cloudy,Evening,Bronze,75.65
U10073,P903,31,Female,Urban,Professional,Clothing,Cloudy,Evening,Gold,79.32
U10074,P540,48,Male,Urban,Unemployed,Clothing,Sunny,Night,New,105.16
U10075,P101,32,Male,Rural,Unemployed,Toys,Rainy,Night,Bronze,68.96
U10076,P285,25,Female,Urban,Professional,Toys,Snowy,Evening,Silver,68.04
U10077,P847,31,Male,Rural,Professional,Toys,Cloudy,Night,Silver,65.06
U10078,P612,40,Female,Suburban,Retired,Toys,Cloudy,Evening,Silver,68.07
U10079,P578,57,Male,Urban,Unemployed,Toys,Sunny,Evening,Bronze,69.2
U10080,P127,38,Male,Rural,Student,Electronics,Cloudy,Morning,New,310.41
U10081,P846,33,Female,Urban,Student,Electronics,Sunny,Night,New,304.22
U10082,P787,62,Female,Suburban,Student,Toys,Rainy,Afternoon,Bronze,71.65
U10083,P763,35,Male,Urban,Student,Groceries,Snowy,Afternoon,Silver,42.35
U10084,P626,64,Female,Urban,Professional,Groceries,Rainy,Night,Gold,40.73
U10085,P852,41,Female,Rural,Professional,Toys,Rainy,Evening,Bronze,80.53
U10086,P917,43,Female,Suburban,Retired,Electronics,Rainy,Afternoon,Gold,237.18
U10087,P305,42,Male,Urban,Student,Groceries,Snowy,Night,New,46.22
U10088,P320,62,Female,Suburban,Professional,Electronics,Rainy,Afternoon,Bronze,285.46
U10089,P880,58,Female,Suburban,Professional,Clothing,Rainy,Morning,New,107.3
U10090,P576,46,Male,Rural,Professional,Electronics,Sunny,Evening,Silver,255.1
U10091,P138,32,Female,Urban,Student,Toys,Sunny,Morning,New,73.7
U10092,P316,62,Female,Rural,Professional,Home Decor,Sunny,Afternoon,Gold,127.29
U10093,P514,18,Female,Suburban,Unemployed,Toys,Snowy,Evening,New,83.71
U10094,P155,42,Female,Suburban,Student,Clothing,Cloudy,Evening,Silver,92.13
U10095,P193,24,Male,Rural,Student,Electronics,Cloudy,Evening,Bronze,280.34
U10096,P889,26,Male,Urban,Unemployed,Groceries,Rainy,Night,Bronze,43.13
U10097,P600,41,Female,Urban,Retired,Toys,Cloudy,Night,Silver,69.13
U10098,P744,18,Female,Urban,Retired,Groceries,Rainy,Evening,Bronze,51.48
U10099,P417,61,Female,Urban,Student,Electronics,Sunny,Evening,New,283.37
U10100,P960,25,Female,Urban,Student,Clothing,Rainy,Evening,Gold,86.94
U10101,P106,41,Male,Suburban,Student,Toys,Snowy,Morning,Silver,77.87
U10102,P974,28,Male,Urban,Unemployed,Groceries,Cloudy,Morning,New,49.88
U10103,P835,34,Male,Urban,Professional,Toys,Rainy,Afternoon,Silver,71.23
U10104,P236,25,Male,Urban,Unemployed,Toys,Sunny,Evening,Bronze,70.54
U10105,P243,52,Female,Urban,Professional,Groceries,Snowy,Evening,Platinum,43.84
U10106,P454,52,Male,Urban,Professional,Clothing,Rainy,Morning,Gold,79.5
U10107,P624,50,Female,Suburban,Retired,Toys,Rainy,Afternoon,Silver,71.73
U10108,P866,22,Male,Urban,Unemployed,Clothing,Rainy,Afternoon,New,93.43
U10109,P361,59,Female,Rural,Unemployed,Clothing,Snowy,Evening,Platinum,77.57
U10110,P239,56,Female,Urban,Student,Electronics,Rainy,Night,New,323.04
U10111,P123,58,Male,Rural,Unemployed,Groceries,Sunny,Afternoon,Silver,46.29
